"N-GQD_CA"
"Wavelength nm."	"Abs."
552.00	0.0152
553.00	0.0151
554.00	0.0149
555.00	0.0148
556.00	0.0145
557.00	0.0143
558.00	0.0142
559.00	0.0140
560.00	0.0139
561.00	0.0137
562.00	0.0135
563.00	0.0134
564.00	0.0133
565.00	0.0132
566.00	0.0130
567.00	0.0128
568.00	0.0127
569.00	0.0125
570.00	0.0124
571.00	0.0122
572.00	0.0121
573.00	0.0121
574.00	0.0119
575.00	0.0117
576.00	0.0116
577.00	0.0115
578.00	0.0114
579.00	0.0113
580.00	0.0111
581.00	0.0110
582.00	0.0109
583.00	0.0107
584.00	0.0106
585.00	0.0105
586.00	0.0104
587.00	0.0103
588.00	0.0101
589.00	0.0100
590.00	0.0099
591.00	0.0098
592.00	0.0097
593.00	0.0096
594.00	0.0095
595.00	0.0094
596.00	0.0093
597.00	0.0092
598.00	0.0091
599.00	0.0090
600.00	0.0089
601.00	0.0088
602.00	0.0088
603.00	0.0087
604.00	0.0086
605.00	0.0085
606.00	0.0084
607.00	0.0083
608.00	0.0083
609.00	0.0082
610.00	0.0081
611.00	0.0081
612.00	0.0080
613.00	0.0079
614.00	0.0079
615.00	0.0078
616.00	0.0077
617.00	0.0077
618.00	0.0076
619.00	0.0076
620.00	0.0075
621.00	0.0074
622.00	0.0074
623.00	0.0073
624.00	0.0073
625.00	0.0072
626.00	0.0072
627.00	0.0072
628.00	0.0071
629.00	0.0070
630.00	0.0070
631.00	0.0069
632.00	0.0069
633.00	0.0069
634.00	0.0069
635.00	0.0068
636.00	0.0067
637.00	0.0066
638.00	0.0065
639.00	0.0065
640.00	0.0065
641.00	0.0065
642.00	0.0064
643.00	0.0064
644.00	0.0063
645.00	0.0063
646.00	0.0063
647.00	0.0063
648.00	0.0062
649.00	0.0062
650.00	0.0061
651.00	0.0061
652.00	0.0061
653.00	0.0060
654.00	0.0060
655.00	0.0060
656.00	0.0060
657.00	0.0059
658.00	0.0059
659.00	0.0059
660.00	0.0058
661.00	0.0058
662.00	0.0058
663.00	0.0057
664.00	0.0057
665.00	0.0057
666.00	0.0057
667.00	0.0056
668.00	0.0056
669.00	0.0056
670.00	0.0056
671.00	0.0056
672.00	0.0056
673.00	0.0056
674.00	0.0056
675.00	0.0056
676.00	0.0056
677.00	0.0056
678.00	0.0055
679.00	0.0055
680.00	0.0055
681.00	0.0055
682.00	0.0055
683.00	0.0055
684.00	0.0055
685.00	0.0055
686.00	0.0054
687.00	0.0054
688.00	0.0054
689.00	0.0054
690.00	0.0054
691.00	0.0054
692.00	0.0054
693.00	0.0054
694.00	0.0053
695.00	0.0053
696.00	0.0053
697.00	0.0052
698.00	0.0053
699.00	0.0053
700.00	0.0052
701.00	0.0052
702.00	0.0052
703.00	0.0052
704.00	0.0052
705.00	0.0052
706.00	0.0051
707.00	0.0051
708.00	0.0051
709.00	0.0051
710.00	0.0051
711.00	0.0051
712.00	0.0051
713.00	0.0051
714.00	0.0051
715.00	0.0050
716.00	0.0050
717.00	0.0050
718.00	0.0049
719.00	0.0050
720.00	0.0049
721.00	0.0049
722.00	0.0049
723.00	0.0049
724.00	0.0049
725.00	0.0048
726.00	0.0048
727.00	0.0048
728.00	0.0048
729.00	0.0048
730.00	0.0048
731.00	0.0048
732.00	0.0048
733.00	0.0047
734.00	0.0047
735.00	0.0047
736.00	0.0046
737.00	0.0047
738.00	0.0047
739.00	0.0046
740.00	0.0046
741.00	0.0046
742.00	0.0046
743.00	0.0045
744.00	0.0046
745.00	0.0046
746.00	0.0045
747.00	0.0045
748.00	0.0045
749.00	0.0044
750.00	0.0044
751.00	0.0044
752.00	0.0043
753.00	0.0043
754.00	0.0043
755.00	0.0043
756.00	0.0042
757.00	0.0042
758.00	0.0041
759.00	0.0042
760.00	0.0042
761.00	0.0042
762.00	0.0041
763.00	0.0041
764.00	0.0041
765.00	0.0041
766.00	0.0040
767.00	0.0040
768.00	0.0040
769.00	0.0040
770.00	0.0040
771.00	0.0040
772.00	0.0039
773.00	0.0039
774.00	0.0039
775.00	0.0038
776.00	0.0038
777.00	0.0038
778.00	0.0038
779.00	0.0038
780.00	0.0038
781.00	0.0038
782.00	0.0038
783.00	0.0038
784.00	0.0038
785.00	0.0037
786.00	0.0037
787.00	0.0037
788.00	0.0037
789.00	0.0037
790.00	0.0037
791.00	0.0037
792.00	0.0037
793.00	0.0037
794.00	0.0037
795.00	0.0037
796.00	0.0036
797.00	0.0036
798.00	0.0036
799.00	0.0036
800.00	0.0036
801.00	0.0036
802.00	0.0036
803.00	0.0036
804.00	0.0036
805.00	0.0036
806.00	0.0036
807.00	0.0036
808.00	0.0036
809.00	0.0036
810.00	0.0035
811.00	0.0035
812.00	0.0035
813.00	0.0036
814.00	0.0035
815.00	0.0035
816.00	0.0035
817.00	0.0035
818.00	0.0035
819.00	0.0035
820.00	0.0035
821.00	0.0035
822.00	0.0035
823.00	0.0034
824.00	0.0035
825.00	0.0035
826.00	0.0035
827.00	0.0035
828.00	0.0035
829.00	0.0035
830.00	0.0035
831.00	0.0034
832.00	0.0035
833.00	0.0034
834.00	0.0035
835.00	0.0034
836.00	0.0034
837.00	0.0034
838.00	0.0034
839.00	0.0034
840.00	0.0034
841.00	0.0034
842.00	0.0034
843.00	0.0034
844.00	0.0033
845.00	0.0033
846.00	0.0033
847.00	0.0033
848.00	0.0033
849.00	0.0033
850.00	0.0033
851.00	0.0032
852.00	0.0032
853.00	0.0032
854.00	0.0032
855.00	0.0032
856.00	0.0032
857.00	0.0031
858.00	0.0031
859.00	0.0031
860.00	0.0031
